novel,cohort,node_id,name,type,degree,gold_overlap,answer_overlap,gold_positions,answer_positions,core2,visual_dense
26,old20,n1,Kaiser,person,0,False,False,,,False,False
26,old20,n2,elderly man,person,1,False,False,,,False,False
26,old20,n3,New Yorkers,person,0,False,False,,,False,False
26,old20,n4,church,location,5,False,False,,,False,True
26,old20,n5,Fifth Avenue,location,1,False,False,,,False,False
26,old20,n6,Madison Avenue,location,1,False,False,,,False,False
26,old20,n7,Fifty-fifth Street,location,1,False,False,,,False,False
26,old20,n8,Fifty-fourth Street,location,1,False,False,,,False,False
26,old20,n9,cemetery,location,6,False,False,,,True,True
26,old20,n10,Carstairs' house,location,1,False,False,,,False,False
26,old20,n11,Mrs. Sims,person,3,False,False,,,False,True
26,old20,n12,Joan Blythe,person,1,False,False,,,False,False
26,old20,n13,diocesan newspaper,clue_object,0,False,False,,,False,False
26,old20,n14,female intuition,clue_object,0,False,False,,,False,False
26,old20,n15,icca,person,1,False,False,,,False,False
26,old20,n17,Stuart,person,0,False,False,,,False,False
26,old20,n18,Allen,person,4,False,False,,,True,True
26,old20,n19,Dammy,person,0,False,False,,,False,False
26,old20,n20,Sloan,person,27,True,False,1898,,True,True
26,old20,n21,Suicca,person,0,False,False,,,False,False
26,old20,n22,Ada the priest,person,0,False,False,,,False,False
26,old20,n23,journalists and photographers,person,0,False,False,,,False,False
26,old20,n24,fifth-fourth street,location,0,False,False,,,False,False
26,old20,n25,long courtyard,location,0,False,False,,,False,False
26,old20,n26,spiked fence,clue_object,0,False,False,,,False,False
26,old20,n27,small cemetery,location,0,False,False,,,False,False
26,old20,n28,Sir,person,1,False,False,,,False,False
26,old20,n29,Weggis,person,1,False,False,,,False,False
26,old20,n30,Vogel,person,0,False,False,,,False,False
26,old20,n32,Shiloan,person,1,False,False,,,False,False
26,old20,n33,Aren,person,0,False,False,,,False,False
26,old20,n34,Wutherspoon,person,0,False,False,,,False,False
26,old20,n35,Mr. Pepper,person,9,False,False,,,True,True
26,old20,n36,Mr. Kagisu,person,0,False,False,,,False,False
26,old20,n37,young Alan Chene,person,4,False,False,,,True,True
26,old20,n38,Mr. Wu Zhuo,person,0,False,False,,,False,False
26,old20,n39,the key to the box,clue_object,1,False,False,,,False,False
26,old20,n40,the safe,clue_object,3,False,False,,,True,True
26,old20,n41,the will,clue_object,7,False,False,,,True,True
26,old20,n42,the box,clue_object,1,False,False,,,False,False
26,old20,n43,Ellery,person,30,True,False,1897,,True,True
26,old20,n44,Mr. Quine,person,0,False,False,,,False,False
26,old20,n45,Quincannon,person,2,False,False,,,True,True
26,old20,n46,Mr. Cadgist,person,4,False,False,,,True,True
26,old20,n47,The mute,person,0,False,False,,,False,False
26,old20,n48,The prosecutor,person,0,False,False,,,False,False
26,old20,n49,Police,clue_object,0,False,False,,,False,False
26,old20,n50,Backyard,location,4,False,False,,,True,True
26,old20,n51,Filter pot,clue_object,1,False,False,,,False,False
26,old20,n52,Tea bags,clue_object,2,False,False,,,True,True
26,old20,n53,Mr. Arpège Greene,person,2,False,False,,,False,True
26,old20,n54,the abdomen,clue_object,1,False,False,,,False,False
26,old20,n55,the coffin,clue_object,2,False,False,,,False,True
26,old20,n56,the desk,clue_object,3,False,False,,,True,True
26,old20,n57,Thomas,person,1,False,False,,,False,False
26,old20,n58,Pigget,person,3,False,False,,,False,False
26,old20,n59,Bailey's,location,0,False,False,,,False,False
26,old20,n60,the railway personnel,person,0,False,False,,,False,False
26,old20,n61,Willi,person,1,False,False,,,False,False
26,old20,n62,Katsis,person,1,False,False,,,False,False
26,old20,n63,Miss Bryant,person,1,False,False,,,False,False
26,old20,n64,Cardiff,person,4,False,False,,,False,True
26,old20,n65,Baily's,clue_object,1,False,False,,,False,False
26,old20,n66,red checkered ties,clue_object,1,False,False,,,False,False
26,old20,n67,filter,clue_object,3,False,False,,,False,False
26,old20,n68,five cups of water,clue_object,0,False,False,,,False,False
26,old20,n69,fresh water,clue_object,0,False,False,,,False,False
26,old20,n70,three teacups,clue_object,2,False,False,,,False,False
26,old20,n71,three people,person,1,False,False,,,False,False
26,old20,n72,tea ring,clue_object,1,False,False,,,False,False
26,old20,n73,chemical analysis,event,1,False,False,,,False,False
26,old20,n74,the water in the filter,clue_object,0,False,False,,,False,False
26,old20,n75,signs on the teacups,clue_object,0,False,False,,,False,False
26,old20,n76,the tea set,clue_object,0,False,False,,,False,False
26,old20,n77,Simpson,person,3,False,False,,,False,True
26,old20,n78,Greenshaw,person,12,True,True,401;1651;1898;2288;2415;2698;2714;2805;2833;2851,2288;2698;2714;2805;2833;2851,True,True
26,old20,n80,the study,location,13,True,True,53;76;104;401;2833,2833,True,True
26,old20,n81,Mr. Knox,person,14,True,True,2698,2698,True,True
26,old20,n82,Leonardo painting,clue_object,6,False,False,,,False,True
26,old20,n83,Kagist's house,location,5,False,False,,,True,True
26,old20,n84,Leonardo da Vinci,person,0,False,False,,,False,False
26,old20,n85,expert,person,0,False,False,,,False,False
26,old20,n86,Wegsch,person,1,False,False,,,False,False
26,old20,n87,Quaglia,person,2,False,False,,,False,True
26,old20,n88,Dumpty,person,1,False,False,,,False,False
26,old20,n89,Pepper,person,22,False,False,,,True,True
26,old20,n91,Willy,person,1,False,False,,,False,False
26,old20,n92,central post office,location,0,False,False,,,False,False
26,old20,n93,Lied,person,1,False,False,,,False,False
26,old20,n94,Villette,person,1,False,False,,,False,False
26,old20,n96,staircase,location,0,False,False,,,False,False
26,old20,n97,large room,location,0,False,False,,,False,False
26,old20,n98,furnace,clue_object,5,False,False,,,True,True
26,old20,n99,rusty box,clue_object,2,False,False,,,True,True
26,old20,n100,armchair,clue_object,1,False,False,,,False,False
26,old20,n101,blotter,clue_object,0,False,False,,,False,False
26,old20,n104,Christie Collection,clue_object,1,False,False,,,False,False
26,old20,n105,small box,clue_object,2,False,False,,,True,True
26,old20,n106,Leonardo's work,clue_object,2,False,False,,,False,False
26,old20,n107,Suichi,person,2,False,False,,,True,True
26,old20,n108,Sloan's office,location,1,False,False,,,False,False
26,old20,n109,door,clue_object,3,True,True,10;401;1662;1853;2253;2288;2833,2288;2833,True,True
26,old20,n110,Cadist,person,0,False,False,,,False,False
26,old20,n111,Sloan's new name,clue_object,0,False,False,,,False,False
26,old20,n112,Bignot Hotel,location,1,False,False,,,False,False
26,old20,n113,police authorities,location,0,False,False,,,False,False
26,old20,n114,new will,clue_object,0,False,False,,,False,False
26,old20,n115,suicide,event,0,False,False,,,False,False
26,old20,n117,Mrs. Sloane,person,1,False,False,,,False,False
26,old20,n118,James Knox,person,5,False,False,,,True,True
26,old20,n119,New York Police Department,person,1,False,False,,,False,False
26,old20,n120,New York and London,location,1,False,False,,,False,False
26,old20,n121,the prosecutor's office,location,1,False,False,,,False,False
26,old20,n122,October 26th,time_anchor,1,False,False,,,False,False
26,old20,n123,Leonardo,person,1,False,False,,,False,False
26,old20,n124,copyist,person,1,False,False,,,False,False
26,old20,n125,figure standing near the flag,clue_object,1,False,False,,,False,False
26,old20,n126,skin tone of the figure standing near the flag,clue_object,1,False,False,,,False,False
26,old20,n127,Leonardo's painting,clue_object,0,False,False,,,False,False
26,old20,n128,copyist's painting,clue_object,0,False,False,,,False,False
26,old20,n129,Ellery Emerges,event,1,False,False,,,False,False
26,old20,n130,the stolen painting,clue_object,0,False,False,,,False,False
26,old20,n131,Mrs. Sloan,person,4,False,False,,,True,True
26,old20,n132,the Remington typewriter,clue_object,2,False,False,,,True,True
26,old20,n133,the key that had been exchanged,clue_object,0,False,False,,,False,False
26,old20,n134,the British pound sterling (£) symbol,clue_object,0,False,False,,,False,False
26,old20,n135,the '#' symbol,clue_object,0,False,False,,,False,False
26,old20,n136,the second threat letter,clue_object,0,False,False,,,False,False
26,old20,n137,the blackboard,clue_object,0,False,False,,,False,False
26,old20,n138,key,clue_object,2,False,False,,,False,True
26,old20,n139,pound sterling (£),clue_object,1,False,False,,,False,False
26,old20,n140,first threatening letter,clue_object,0,False,False,,,False,False
26,old20,n141,Miss Blewett,person,1,False,False,,,False,False
26,old20,n142,Miss Blythe,person,2,True,True,2698,2698,False,True
26,old20,n143,Carstairs',location,2,False,False,,,False,True
26,old20,n144,servants,person,0,True,True,2698,2698,False,False
26,old20,n145,Bideau Hotel,location,1,False,False,,,False,False
26,old20,n146,Cardiff's coffin,clue_object,1,False,False,,,False,False
26,old20,n147,Sloan's cigarette case,clue_object,0,False,False,,,False,False
26,old20,n148,Greenshaw's watch,clue_object,1,False,False,,,False,False
26,old20,n149,second victim,person,1,False,False,,,False,False
26,old20,n150,teacup,clue_object,1,False,False,,,False,False
26,old20,n151,third-person theory,event,0,False,False,,,False,False
26,old20,n152,teaching painting,clue_object,1,False,False,,,False,False
26,old20,n154,Quin father and son,person,7,False,False,,,True,True
26,old20,n155,Henry Simpson,person,0,False,False,,,False,False
26,old20,n156,Officer,person,15,False,False,,,True,True
26,old20,n157,Hässe,person,1,False,False,,,False,False
26,old20,n158,Piggott,person,1,False,False,,,False,False
26,old20,n159,Rett,person,1,False,False,,,False,False
26,old20,n160,Inspector Willi,person,1,False,False,,,False,False
26,old20,n161,Greenway case,event,0,False,False,,,False,False
26,old20,n162,Locked room,location,1,False,False,,,False,False
26,old20,n163,Detective Veli,person,6,False,False,,,True,True
26,old20,n164,Detective Piggott,person,1,False,False,,,False,False
26,old20,n165,Detective Ritter,person,1,False,False,,,False,False
26,old20,n166,Mrs. Freeland,person,1,False,False,,,False,False
26,old20,n167,the revolver,clue_object,1,False,False,,,False,False
26,old20,n168,Kagiso,person,7,False,False,,,True,True
26,old20,n169,Cardigan,person,2,False,False,,,True,True
26,old20,n170,Greenway,person,7,False,False,,,True,True
26,old20,n171,Miss Blight,person,3,False,False,,,True,True
26,old20,n172,Poirot,person,5,False,False,,,True,True
26,old20,n173,I (the narrator),person,1,False,False,,,False,False
26,old20,n174,Mr. Knox's personal experiences,clue_object,0,False,False,,,False,False
26,old20,n175,the iron box,clue_object,2,False,False,,,False,True
26,old20,n176,the Benson box,clue_object,0,False,False,,,False,False
26,old20,n178,Collection Library,location,1,False,False,,,False,False
26,old20,n179,Times Building,location,1,False,False,,,False,False
26,old20,n180,Eretria,person,1,False,False,,,False,False
26,old20,n181,alarm system,clue_object,0,False,False,,,False,False
26,old20,n182,Victoria Museum,location,0,False,False,,,False,False
26,old20,n183,Toby Johnson,person,0,False,False,,,False,False
26,old20,n184,Mr. Knox's replica,clue_object,0,False,False,,,False,False
26,old20,n185,the plan,event,0,False,False,,,False,False
26,old20,n186,Friday afternoon,time_anchor,0,False,False,,,False,False
26,old20,n187,the criminal,person,0,False,False,,,False,False
26,old20,n188,an accomplice,person,0,False,False,,,False,False
26,old20,n189,another accomplice,person,0,False,False,,,False,False
26,old20,n190,Cagliostro,person,0,False,False,,,False,False
26,old20,n191,"Mrs. Frielan, Ellery",person,1,False,False,,,False,False
26,old20,n192,Shloer,person,0,False,False,,,False,False
26,old20,n193,the Beneath hotel,location,0,False,False,,,False,False
26,old20,n194,the Kagist estate collection,clue_object,0,False,False,,,False,False
26,old20,n195,Sergeant,person,0,False,False,,,False,False
26,old20,n196,Willie,person,0,False,False,,,False,False
26,old20,n197,Henry Wilson,person,0,False,False,,,False,False
26,old20,n198,vicar,person,0,False,False,,,False,False
26,old20,n199,Dampier,person,0,False,False,,,False,False
26,old20,n200,Kirchak,person,0,False,False,,,False,False
26,old20,n203,The envelope,clue_object,2,False,False,,,False,False
26,old20,n204,Knox's address,clue_object,1,False,False,,,False,False
26,old20,n205,"A circle on the left, dragging a curve to the right",clue_object,0,False,False,,,False,False
26,old20,n206,Joan,person,3,False,False,,,True,True
26,old20,n208,"Knox, James",person,0,False,False,,,False,False
26,old20,n209,Lee,person,0,False,False,,,False,False
26,old20,n210,Piper,person,1,False,False,,,False,False
26,old20,n211,"Joan Blight, Miss",person,0,False,False,,,False,False
26,old20,n212,"Revolver, Sholto's",clue_object,0,False,False,,,False,False
